ts_utc;scheduler;threads;delay_s;urls_total;duration_s;urls_per_s;broken_links_total;cascade_logins_total;pages_with_violations;total_links_found;cache_mode;cache_max_size;cache_accesses;cache_hits;cache_misses;cache_hit_ratio;cpu_percent_avg;memory_rss_mb
2025-11-19T20:24:30Z;priority;12;0.5;1618;175,88;9,20;26;335;95;12258;lru;10000;6905;4544;2361;0,6581;63,20;68,86
2025-11-20T19:07:05Z;priority;12;0.5;1618;523,78;3,09;27;335;97;12245;lru;10000;6894;4537;2357;0,6581;21,40;66,96
2025-11-20T19:16:45Z;priority;12;0.5;1618;543,01;2,98;27;335;96;12245;lru;10000;6894;4542;2352;0,6588;23,30;82,66
2025-11-20T19:24:10Z;fifo;12;0.5;1618;406,57;3,98;27;335;97;12245;lru;10000;6894;4527;2367;0,6567;27,90;80,38
2025-11-20T19:30:20Z;fifo;12;0.5;1618;357,60;4,52;26;335;96;12245;lru;10000;6894;4512;2382;0,6545;45,70;97,55
2025-11-20T19:40:13Z;fifo;12;0.5;1618;569,60;2,84;32;335;102;12241;none;10000;0;0;0;0,0000;49,90;151,55
2025-11-20T20:00:06Z;fifo;12;0.5;1618;345,34;4,69;29;335;98;12245;none;10000;0;0;0;0,0000;88,30;159,74
2025-11-20T20:14:47Z;priority;12;0.5;1618;437,07;3,70;39;335;104;12245;none;10000;0;0;0;0,0000;69,80;170,91
2025-11-21T15:35:05Z;priority;12;0.5;1618;265,58;6,09;25;335;95;12245;none;10000;0;0;0;0,0000;83,30;160,46
2025-11-26T03:55:45Z;priority;12;0.5;1618;330,90;4,89;26;324;95;12240;lru;10000;6901;4542;2359;0,6582;51,00;70,38
2025-11-26T17:20:30Z;priority;12;0.5;1618;183,76;8,80;29;323;94;12240;lru;10000;6902;4540;2362;0,6578;80,30;70,17
2025-12-01T15:03:03Z;priority;12;0.5;1618;186,22;8,69;29;323;96;12241;lru;10000;6903;4542;2361;0,6580;88,20;69,10
2026-02-10T19:24:16Z;priority;12;0.5;1618;185,39;8,73;30;236;90;12217;lru;10000;6966;4546;2420;0,6526;;
2026-03-17T12:10:38Z;priority;12;0.5;1618;185,94;8,70;39;0;32;12260;lru;10000;7228;4686;2542;0,6483;51,90;116,50
2026-03-17T12:31:48Z;priority;12;0.5;1618;182,29;8,88;28;0;22;12259;lru;10000;7227;4683;2544;0,6480;76,80;118,32
2026-03-17T14:02:41Z;priority;12;0.5;1618;187,46;8,63;27;0;22;12259;lru;10000;7227;4681;2546;0,6477;60,20;112,80
2026-03-17T14:36:58Z;priority;12;0.5;1618;210,90;7,67;27;0;22;12259;lru;10000;7227;4673;2554;0,6466;92,90;156,83
2026-03-17T15:12:25Z;priority;12;0.5;1618;203,52;7,95;27;0;22;12259;lru;10000;7227;4683;2544;0,6480;67,60;164,55
2026-03-17T15:33:25Z;priority;12;0.5;1618;194,52;8,32;27;0;22;12263;lru;10000;7231;4685;2546;0,6479;77,30;142,21
